# Rime user dictionary
#@/db_name	rime_mint
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	64601
#@/user_id	2936c340-6f85-42ad-8ce9-4366b014c95e
a 	啊	c=259 d=2.50639 t=64601
a ge 	阿哥	c=0 d=2.81214e-18 t=64601
a gu ji 	啊估计	c=1 d=6.73844e-92 t=64601
a li 	阿里	c=3 d=0.035437 t=64601
a li ba ba 	阿里巴巴	c=1 d=0.0356146 t=64601
a li yun 	阿里云	c=2 d=5.03201e-39 t=64601
a ou cuo 	啊欧厝	c=1 d=8.67177e-89 t=64601
a sa dan fa 	啊撒旦法	c=9 d=0.814647 t=64601
a sa dan fa yi 	啊撒旦法以	c=1 d=7.52069e-90 t=64601
a shi dan fa she 	啊实弹发射	c=1 d=0.0594489 t=64601
a shi dan fa she fang 	啊实弹发射放	c=1 d=0.0581343 t=64601
a si di fen 	阿斯蒂芬	c=0 d=0.00675424 t=64601
ai 	哎	c=45 d=2.59329e-05 t=64601
ai 	爱	c=1 d=6.44851e-104 t=64601
ai de 	爱的	c=2 d=1.27286e-103 t=64601
ai jia ai hu 	挨家挨户	c=1 d=5.70261e-99 t=64601
ai ni 	爱你	c=1 d=4.11202e-46 t=64601
ai pi ping 	挨批评	c=2 d=1.60933e-39 t=64601
ai ren 	爱人	c=0 d=1.35046e-65 t=64601
ai ren nian hou 	爱人年后	c=1 d=1.35723e-64 t=64601
ai ya 	哎呀	c=1 d=1.51695e-20 t=64601
ai yo 	哎哟	c=0 d=3.53575e-06 t=64601
ai zheng 	癌症	c=1 d=2.97367e-27 t=64601
an 	按	c=13 d=3.02975e-06 t=64601
an an 	按按	c=1 d=1.16529e-123 t=64601
an bian 	岸边	c=1 d=1.04564e-25 t=64601
an fu 	安抚	c=1 d=3.40047e-46 t=64601
an guo 	安国	c=0 d=7.33602e-122 t=64601
an guo shi 	安国市	c=1 d=3.81335e-100 t=64601
an hei 	暗黑	c=5 d=3.16745e-05 t=64601
an hun 	安魂	c=0 d=6.11734e-73 t=64601
an hun guo 	按混过	c=1 d=1.72705e-136 t=64601
an ji suan 	氨基酸	c=1 d=3.28139e-09 t=64601
an jian 	按键	c=2 d=0.0515605 t=64601
an li 	案例	c=3 d=0.0340475 t=64601
an mo 	按摩	c=1 d=1.72784e-22 t=64601
