# Rime user dictionary
#@/db_name	terra_pinyin
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	10114
#@/user_id	b7b5346c-d7ed-45fb-a14d-dc8972459ce8
a 	啊	c=41 d=0.369507 t=10114
a shu de fa shu de fa 	啊数得发数得发	c=1 d=6.86683e-20 t=10114
ai1 	哎	c=2 d=1.07026e-11 t=10114
ai4 	爱	c=4 d=0.133989 t=10114
ai4 ni3 	爱你	c=3 d=5.96308e-13 t=10114
an1 quan2 	安全	c=3 d=3.61966e-10 t=10114
an1 zhuang1 	安装	c=2 d=0.0432828 t=10114
an4 	按	c=2 d=2.99071e-06 t=10114
an4 jian4 	按键	c=4 d=0.00516939 t=10114
an4 niu3 	按钮	c=3 d=0.818731 t=10114
an4 se4 xi4 	暗色系	c=2 d=4.29018e-08 t=10114
an4 zhao4 	按照	c=2 d=0.00946646 t=10114
an4 zi5 	案子	c=2 d=1.00776e-15 t=10114
ao4 	奥	c=0 d=1.96504e-07 t=10114
ba1 ba1 	粑粑	c=1 d=5.5346e-18 t=10114
ba1 zi4 	八字	c=1 d=7.82014e-20 t=10114
ba3 	把	c=33 d=2.62551 t=10114
ba3 hai2 zi5 	把孩子	c=1 d=3.50176e-09 t=10114
ba4 ba4 	爸爸	c=1 d=0.107528 t=10114
ba4 ma1 	爸妈	c=4 d=7.82649e-18 t=10114
ba5 	吧	c=41 d=0.00473411 t=10114
bai2 tian1 	白天	c=1 d=0.331211 t=10114
bai3 fen1 zhi1 	百分之	c=1 d=0.000235217 t=10114
bai3 nian2 	百年	c=1 d=1.30543e-18 t=10114
bai3 zai4 	摆在	c=1 d=8.59509e-14 t=10114
ban1 	斑	c=2 d=4.95641e-08 t=10114
ban1 zi5 	班子	c=1 d=1.25642e-09 t=10114
ban3 ben3 	版本	c=3 d=0.627456 t=10114
ban3 ben3 hao4 	版本号	c=1 d=0.412714 t=10114
ban3 quan2 	版权	c=2 d=1.16813e-16 t=10114
ban4 	办	c=2 d=9.28059e-05 t=10114
ban4 bian1 tian1 	半边天	c=1 d=1.44971e-16 t=10114
ban4 gong1 	办公	c=1 d=3.30524e-06 t=10114
ban4 tou4 ming2 	半透明	c=3 d=1.30863e-08 t=10114
ban4 xiao3 shi2 	半小时	c=3 d=1.88311e-05 t=10114
bang1 bu4 bang1 	帮不帮	c=1 d=5.50982e-18 t=10114
bang1 mang2 	帮忙	c=6 d=0.674363 t=10114
bang1 ni3 	帮你	c=1 d=2.13446e-18 t=10114
bang1 wo3 	帮我	c=21 d=0.0256219 t=10114
bang3 dan1 	榜单	c=14 d=3.19319e-06 t=10114
bang3 ding4 	绑定	c=6 d=0.385304 t=10114
bang3 jia4 	绑架	c=1 d=2.2232e-17 t=10114
bao1 	包	c=6 d=0.239309 t=10114
bao1 kuo4 	包括	c=2 d=0.000668817 t=10114
bao3 bao3 	宝宝	c=4 d=0.00530603 t=10114
bao3 bei4 	宝贝	c=2 d=3.85309e-13 t=10114
bao3 cun2 	保存	c=3 d=7.73569e-21 t=10114
bao3 hu4 	保护	c=1 d=4.07969e-12 t=10114
bao3 mu3 	保姆	c=1 d=2.15229e-18 t=10114
bao3 zang4 	宝藏	c=5 d=8.31855e-21 t=10114
bao3 zheng4 	保证	c=1 d=0.00293808 t=10114
bao4 	报	c=3 d=0.0258604 t=10114
bao4 	抱	c=1 d=0.97531 t=10114
bao4 biao3 	报表	c=1 d=0.254107 t=10114
bao4 biao3 	爆表	c=1 d=0.255381 t=10114
bao4 cuo4 	报错	c=9 d=7.27487e-06 t=10114
bao4 guang1 	曝光	c=6 d=0.000137845 t=10114
bao4 jing3 	报警	c=2 d=2.84284e-15 t=10114
bao4 ming2 	报名	c=1 d=2.51271e-16 t=10114
bao4 peng2 	爆棚	c=1 d=1.66756e-16 t=10114
bei 	背	c=1 d=2.0572e-07 t=10114
bei1 bao1 	背包	c=1 d=2.01232e-21 t=10114
bei3 jing1 	北京	c=6 d=3.65936e-06 t=10114
bei4 	被	c=6 d=0.496585 t=10114
bei4 	贝	c=2 d=1.47676e-07 t=10114
bei4 jing3 	背景	c=5 d=0.99005 t=10114
bei4 shu1 	背书	c=1 d=3.34767e-09 t=10114
bei4 zhu4 	备注	c=2 d=1.77377e-17 t=10114
bei5 	呗	c=2 d=0.410017 t=10114
ben3 	本	c=2 d=6.94551e-07 t=10114
ben3 chang3 	本场	c=3 d=3.07817e-07 t=10114
ben3 ci4 	本次	c=5 d=8.69659e-12 t=10114
ben3 fang2 	本房	c=6 d=0.000321047 t=10114
ben3 fen4 	本分	c=1 d=2.00678e-18 t=10114
ben3 jing1 	本经	c=1 d=3.63464e-06 t=10114
ben3 lun2 	本轮	c=2 d=7.22644e-21 t=10114
ben3 ren2 	本人	c=4 d=0.011072 t=10114
ben3 ren2 shi4 	本人是	c=1 d=0.00271219 t=10114
