# Rime user dictionary
#@/db_name	terra_pinyin
#@/db_type	userdb
#@/rime_version	1.13.0
#@/tick	63338
#@/user_id	eda97b9c-91d9-424e-a110-67fce4e92b13
a 	啊	c=189 d=0.574036 t=63338
a bei 	啊背	c=1 d=1 t=54827
a dai fa fa san dai fa 	啊待发发散待发	c=1 d=1 t=53540
a san dai fa dai fa 	啊散待发待发	c=1 d=1 t=53547
a san dai fa san dai fa dai fa 	啊散待发散待发待发	c=1 d=1 t=53548
a san san dai fa san dai fa 	啊散散待发散待发	c=1 d=1 t=53550
a shu dai fa shu dai fa shu dai fa 	啊数待发数待发数待发	c=5 d=3.96526 t=53545
a shu de fa shu de fa 	啊数得发数得发	c=4 d=6.86683e-20 t=63338
a1 hong1 	阿訇	c=0 d=0.1 t=10410
a1 la1 bo2 	阿拉伯	c=1 d=1 t=55980
a1 li3 yun2 	阿里云	c=1 d=1 t=10323
ai 	挨	c=1 d=1 t=51934
ai1 	哎	c=3 d=1.07026e-11 t=63338
ai2 da3 	挨打	c=1 d=1 t=52426
ai4 	爱	c=12 d=0.133989 t=63338
ai4 ni3 	爱你	c=3 d=5.96308e-13 t=63338
ai4 pao3 bu4 	爱跑步	c=2 d=1.31982 t=10347
ai4 si3 ji1 	爱死机	c=1 d=1 t=20726
ai4 si3 ni3 	爱死你	c=1 d=1 t=21682
an1 quan2 	安全	c=6 d=0.0432828 t=63338
an1 quan2 xing4 	安全性	c=1 d=1 t=13226
an1 wei4 	安慰	c=1 d=1 t=59910
an1 zhuang1 	安装	c=29 d=1.92031 t=63338
an1 zhuang1 bao1 	安装包	c=2 d=1.34301 t=12896
an1 zhuang1 bei 	安装背	c=1 d=1 t=12720
an1 zhuo2 	安卓	c=21 d=1.0006 t=63225
an4 	按	c=5 d=2.99071e-06 t=63338
an4 hei1 	暗黑	c=3 d=1.92774 t=58970
an4 jian4 	按键	c=16 d=0.00516939 t=63338
an4 li4 	案例	c=4 d=2.0528 t=61442
an4 mo2 	按摩	c=2 d=1 t=27885
an4 niu3 	按钮	c=36 d=0.818731 t=63338
an4 se4 xi4 	暗色系	c=2 d=4.29018e-08 t=63338
an4 shi4 	暗示	c=1 d=1 t=52258
an4 xia4 	按下	c=2 d=1.91851 t=50383
an4 ye4 	暗夜	c=4 d=1.74935 t=56261
an4 zhao4 	按照	c=35 d=0.384812 t=63338
an4 zi5 	案子	c=2 d=1.00776e-15 t=63338
ang2 	昂	c=0 d=0.1 t=48276
ao2 ye4 	熬夜	c=1 d=1 t=40521
ao4 	奥	c=0 d=1.96504e-07 t=63338
ba1 ba1 	粑粑	c=2 d=4.17288e-13 t=63338
ba1 li2 	巴黎	c=14 d=6.00818 t=62998
ba1 yue4 	八月	c=1 d=1 t=37375
ba1 zi4 	八字	c=1 d=7.82014e-20 t=63338
ba2 	拔	c=1 d=1 t=35120
ba3 	把	c=385 d=2.62551 t=63338
ba3 ben3 	把本	c=1 d=1 t=18330
ba3 hai2 zi5 	把孩子	c=1 d=3.50176e-09 t=63338
ba3 ni3 	把你	c=2 d=1 t=51852
ba3 qian2 	把钱	c=2 d=1 t=43058
ba3 ta1 	把他	c=1 d=1 t=41919
ba3 ta1 	把它	c=1 d=1 t=40715
ba3 wo3 	把我	c=2 d=1 t=24429
ba3 wo4 	把握	c=1 d=1 t=10135
ba3 zhe4 ge4 	把这个	c=1 d=1 t=37061
ba4 	爸	c=1 d=1 t=43250
ba4 ba4 	爸爸	c=1 d=0.107528 t=63338
ba4 ba4 ma1 ma1 	爸爸妈妈	c=1 d=1 t=22516
ba4 le5 	罢了	c=3 d=1.00654 t=61546
ba4 ma1 	爸妈	c=4 d=7.82649e-18 t=63338
