# Rime user dictionary
#@/db_name	custom_dict_terra
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	305
#@/user_id	a9cfc3de-673b-4c99-8a22-ac18d7e1c784
an4 jian4 	按键	c=1 d=1 t=1
ban3 ben3 	版本	c=1 d=1 t=29
ban3 ben3 hao4 	版本号	c=6 d=4.95636 t=123
bang3 ding4 	绑定	c=1 d=1 t=2
bao3 cun2 	保存	c=1 d=1 t=39
bei4 	被	c=4 d=3.85673 t=124
bian4 hua4 	变化	c=1 d=1 t=207
bing4 	並	c=2 d=1.625 t=117
bu4 	不	c=2 d=1.57695 t=257
bu4 yi2 yang4 	不一样	c=1 d=1 t=137
cha2 zhao3 	查找	c=1 d=1 t=174
cheng2 gong1 	成功	c=1 d=1 t=251
chu3 li3 	处理	c=2 d=1.66698 t=282
chuan2 	傳	c=1 d=1 t=22
cuo4 wu4 	错误	c=2 d=1.94649 t=283
dai4 	帶	c=1 d=1 t=66
dai4 ma3 	代码	c=1 d=1 t=221
dan4 shi4 	但是	c=3 d=2.81931 t=107
dang1 qian2 	当前	c=3 d=2.60128 t=223
dao3 zhi4 	导致	c=1 d=1 t=99
dao4 	到	c=2 d=1.29083 t=281
de5 	的	c=19 d=12.2474 t=234
di4 yi1 ci4 	第一次	c=2 d=1.9802 t=25
dian3 	點	c=1 d=1 t=75
diao4 le 	掉了	c=1 d=1 t=77
dou1 hui4 	都会	c=2 d=1.69073 t=128
dou1 you3 	都有	c=1 d=1 t=65
e2 wai4 	额外	c=1 d=1 t=160
en1 	恩	c=2 d=1.49164 t=162
er2 wai4 	而外	c=1 d=1 t=159
er3 ji1 	耳机	c=1 d=1 t=203
er4 ci4 	二次	c=2 d=1.99501 t=244
er4 ji2 	二级	c=3 d=2.82202 t=235
fa1 sheng1 bian4 hua4 	发生变化	c=1 d=1 t=106
fan3 hui2 	返回	c=4 d=2.56691 t=284
fang1 fa3 	方法	c=1 d=1 t=92
fang1 shi4 	方式	c=1 d=1 t=87
fen1 zu3 	分组	c=3 d=2.78856 t=217
gai3 	改	c=1 d=1 t=7
gai3 le 	改了	c=1 d=1 t=14
geng1 huan4 	更换	c=1 d=1 t=3
geng1 xin1 	更新	c=3 d=2.83173 t=86
guan1 bi4 	关闭	c=3 d=2.97516 t=304
